Time; CSin; CSmax; CSmin; CSout; MA20; MA60; TR; ATR10; +DM; -DM; +DI10; -DI10; DXI; ADXi; Vol;  TS; DMS_TS; MACD; MACDsig; MACDDiff; MABsig; MASsig; MABsig5; MASsig5; MAmomentum;MAmomAVG; LocMax; LocMin
2016-06-23 10:15:00; 1,13359; 1,13359; 1,13342; 1,13343; 1,13348160; 1,13348160; 1,13359000; 0,15114533; 1,13359000; 0,00000000; 0,13333333; 0,00000000; 1,00000000; 0,07142857; 3,33333333; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 566,74080000; 103,04378182; 0,00000000; 0,00000000; 
2016-06-23 10:16:05; 1,13343; 1,13353; 1,13327; 1,13339; 1,13342356; 1,13342397; 0,00026000; 0,14038390; 0,00000000; 0,00015000; 0,11555556; 0,07692308; 0,20071048; 0,08576503; 15,76190476; 0,00000000; 0,00000000; -0,00000055; -0,00000011; -0,00000044; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 515,19252823; 170,31550401; 0,00000000; 0,00000000; 
2016-06-23 10:17:00; 1,13338; 1,13349; 1,13336; 1,13349; 1,13342564; 1,13342587; 0,00013000; 0,12960267; 0,00000000; 0,00000000; 0,10014815; 0,06666667; 0,20071048; 0,10010150; 22,48571429; 0,00000000; 0,00000000; -0,00000033; -0,00000016; -0,00000016; 0,00000000; 0,00000000; 0,00000000; 0,00000000; 629,68090894; 284,80294200; 0,00000000; 1,13327000; 
2016-06-23 10:18:01; 1,13347; 1,13359; 1,13345; 1,13359; 1,13344615; 1,13344535; 0,00014000; 0,11882152; 0,00010000; 0,00000000; 0,18203316; 0,05777778; 0,51813892; 0,13711142; 27,44761905; 0,00000000; 0,00000000; 0,00000117; 0,00000009; 0,00000108; 18,18181818; 0,00000000; 0,00000000; 0,00000000; 515,20279498; 284,32644456; 0,00000000; 1,13327000; 
2016-06-23 10:19:00; 1,1336; 1,1337; 1,13352; 1,13363; 1,13349200; 1,13348845; 0,00018000; 0,10804438; 0,00011000; 0,00000000; 0,23924355; 0,05007407; 0,65384705; 0,18381478; 34,73333333; 0,00000000; 0,00000000; 0,00000535; 0,00000115; 0,00000420; 34,54545455; 0,00000000; 0,00000000; 0,00000000; 629,71777635; 398,82058571; 0,00000000; 1,13327000; 
2016-06-23 10:20:00; 1,13362; 1,13372; 1,1336; 1,13372; 1,13352517; 1,13351931; 0,00012000; 0,09725752; 0,00002000; 0,00000000; 0,22956663; 0,04339753; 0,68202763; 0,23253104; 39,87619048; 0,00000000; 0,00000000; 0,00000916; 0,00000286; 0,00000630; 49,09090909; 0,00000000; 0,00000000; 0,00000000; 515,23871407; 360,65883597; 0,00000000; 1,13327000; 
2016-06-23 10:21:03; 1,13373; 1,134; 1,13363; 1,13398; 1,13357653; 1,13356634; 0,00037000; 0,08650286; 0,00028000; 0,00000000; 0,29985865; 0,03761119; 0,77709894; 0,28803811; 46,18095238; 0,00000000; 0,00000000; 0,00001644; 0,00000582; 0,00001062; 61,81818182; 0,00000000; 0,00000000; 0,00000000; 566,78826642; 427,64536445; 0,00000000; 1,13327000; 
2016-06-23 10:22:00; 1,13399; 1,13403; 1,13384; 1,13387; 1,13364304; 1,13362640; 0,00019000; 0,07572067; 0,00003000; 0,00000000; 0,28093013; 0,03259637; 0,79206626; 0,34461427; 52,59047619; 0,00000000; 0,00000000; 0,00002774; 0,00001067; 0,00001707; 72,72727273; 0,00000000; 0,00000000; 0,00000000; 708,52690176; 566,18765032; 0,00000000; 1,13327000; 
2016-06-23 10:23:00; 1,13388; 1,13393; 1,13385; 1,13391; 1,13367922; 1,13365883; 0,00008000; 0,06492200; 0,00000000; 0,00000000; 0,24347278; 0,02825019; 0,79206626; 0,40119043; 56,64761905; 0,00000000; 0,00000000; 0,00003546; 0,00001645; 0,00001901; 81,81818182; 0,00000000; 0,00000000; 0,00000000; 566,83960783; 473,65729982; 1,13403000; 1,13327000; 
2016-06-23 10:24:01; 1,13391; 1,13402; 1,13366; 1,13366; 1,13370192; 1,13367836; 0,00036000; 0,05415990; 0,00000000; 0,00019000; 0,21100974; 0,09485386; 0,37976364; 0,42831641; 57,53333333; 0,00000000; 0,00000000; 0,00004342; 0,00002304; 0,00002038; 70,90909091; 0,00000000; 0,00000000; 0,00000000; 515,31905400; 446,00145596; 1,13403000; 1,13327000; 
